PERIOD_START_TIME;MRBTS name;MRBTS ID;LNBTS type;LNBTS name;LNBTS ID;LNCEL name;LNCEL ID;end user throughput for DL[kbps]: QCI-1_DL;end user throughput for DL[kbps]: QCI-5_DL;end user throughput for DL[kbps]: QCI-9_DL;end user throughput for UL[kbps]: QCI-1_UL;end user throughput for UL[kbps]: QCI-5_UL;end user throughput for UL[kbps]: QCI-9_UL;Latency: Ave_Latency_DL;Latency: Ave_Latency_UL
04.14.2020 08:30:00;320192;320192;MacroBTS;320192;320192;HV-34649_00002 (id: 92);92;215.52;;7744.60;91.65;998.10;9107.30;10.00;0.00
04.14.2020 08:30:00;320192;320192;MacroBTS;320192;320192;HV-34649_00001 (id: 91);91;504.00;2636.92;9547.55;61.80;655.37;600.44;49.00;0.00
04.14.2020 08:30:00;320192;320192;MacroBTS;320192;320192;HV-34649_00003 (id: 93);93;48.00;4301.31;11489.90;185.28;500.83;683.22;30.00;0.00
04.14.2020 08:45:00;320192;320192;MacroBTS;320192;320192;HV-34649_00003 (id: 93);93;290.19;4515.60;11197.98;118.80;581.20;1032.80;31.00;0.00
04.14.2020 08:45:00;320192;320192;MacroBTS;320192;320192;HV-34649_00002 (id: 92);92;;3601.45;18822.26;396.00;668.57;756.54;7.00;0.00
04.14.2020 08:45:00;320192;320192;MacroBTS;320192;320192;HV-34649_00001 (id: 91);91;361.50;6870.40;11935.75;67.77;826.36;816.57;26.00;0.00
04.14.2020 09:00:00;320192;320192;MacroBTS;320192;320192;HV-34649_00002 (id: 92);92;;2854.58;14126.50;195.97;808.00;11048.88;12.00;0.00
04.14.2020 09:00:00;320192;320192;MacroBTS;320192;320192;HV-34649_00003 (id: 93);93;319.04;1899.14;12340.27;95.58;115.27;1575.06;16.00;0.00
04.14.2020 09:00:00;320192;320192;MacroBTS;320192;320192;HV-34649_00001 (id: 91);91;247.14;3452.00;12166.85;82.70;140.29;845.05;31.00;0.00
04.14.2020 09:15:00;320192;320192;MacroBTS;320192;320192;HV-34649_00003 (id: 93);93;296.00;2944.47;12561.33;74.61;851.75;887.13;35.00;0.00
04.14.2020 09:15:00;320192;320192;MacroBTS;320192;320192;HV-34649_00002 (id: 92);92;;;9703.40;231.26;587.07;9902.74;10.00;0.00
04.14.2020 09:15:00;320192;320192;MacroBTS;320192;320192;HV-34649_00001 (id: 91);91;273.87;5548.33;12514.32;110.22;869.21;861.21;31.00;0.00
04.14.2020 09:30:00;320192;320192;MacroBTS;320192;320192;HV-34649_00003 (id: 93);93;180.88;6296.44;13853.79;137.44;946.01;945.35;29.00;0.00
04.14.2020 09:30:00;320192;320192;MacroBTS;320192;320192;HV-34649_00001 (id: 91);91;186.81;2011.45;10491.98;155.11;765.92;800.26;39.00;0.00
04.14.2020 09:30:00;320192;320192;MacroBTS;320192;320192;HV-34649_00002 (id: 92);92;498.56;2782.15;5724.27;232.10;1963.56;2534.47;22.00;0.00
04.14.2020 09:45:00;320192;320192;MacroBTS;320192;320192;HV-34649_00001 (id: 91);91;1200.00;7618.37;11557.79;76.20;946.53;567.98;47.00;0.00
04.14.2020 09:45:00;320192;320192;MacroBTS;320192;320192;HV-34649_00002 (id: 92);92;162.00;13696.00;21518.69;79.64;989.89;1614.68;34.00;0.00
04.14.2020 09:45:00;320192;320192;MacroBTS;320192;320192;HV-34649_00003 (id: 93);93;236.89;2290.59;15444.97;87.79;270.85;843.32;28.00;0.00
04.14.2020 10:00:00;320192;320192;MacroBTS;320192;320192;HV-34649_00002 (id: 92);92;584.00;1748.55;15314.12;230.96;745.59;3916.13;9.00;0.00
04.14.2020 10:00:00;320192;320192;MacroBTS;320192;320192;HV-34649_00003 (id: 93);93;458.73;7620.48;18750.51;135.06;357.70;1040.71;27.00;0.00
04.14.2020 10:00:00;320192;320192;MacroBTS;320192;320192;HV-34649_00001 (id: 91);91;113.29;7497.14;13839.61;67.63;284.92;3175.48;46.00;0.00
04.14.2020 10:15:00;320192;320192;MacroBTS;320192;320192;HV-34649_00002 (id: 92);92;;3910.86;16373.77;;699.81;1706.03;9.00;0.00
04.14.2020 10:15:00;320192;320192;MacroBTS;320192;320192;HV-34649_00003 (id: 93);93;122.00;5650.62;23421.82;117.84;884.56;1389.23;25.00;0.00
04.14.2020 10:15:00;320192;320192;MacroBTS;320192;320192;HV-34649_00001 (id: 91);91;168.00;5684.48;16644.44;140.85;1055.86;1119.32;20.00;0.00
04.14.2020 10:30:00;320192;320192;MacroBTS;320192;320192;HV-34649_00001 (id: 91);91;463.17;1590.94;12489.85;99.04;866.65;637.27;49.00;0.00
04.14.2020 10:30:00;320192;320192;MacroBTS;320192;320192;HV-34649_00003 (id: 93);93;289.29;4723.96;18005.11;103.51;542.85;3179.16;132.00;0.00
04.14.2020 10:30:00;320192;320192;MacroBTS;320192;320192;HV-34649_00002 (id: 92);92;;1784.94;16042.34;351.38;609.63;1463.73;25.00;0.00
04.14.2020 10:45:00;320192;320192;MacroBTS;320192;320192;HV-34649_00002 (id: 92);92;;8446.96;17756.91;131.53;1249.32;2932.61;28.00;0.00
04.14.2020 10:45:00;320192;320192;MacroBTS;320192;320192;HV-34649_00001 (id: 91);91;210.77;2156.04;12973.38;71.35;56.05;969.64;70.00;0.00
04.14.2020 10:45:00;320192;320192;MacroBTS;320192;320192;HV-34649_00003 (id: 93);93;298.16;4649.71;12688.78;198.51;867.52;902.04;22.00;0.00
04.14.2020 11:00:00;320192;320192;MacroBTS;320192;320192;HV-34649_00003 (id: 93);93;248.32;5011.15;15801.65;199.58;215.58;960.21;62.00;0.00
04.14.2020 11:00:00;320192;320192;MacroBTS;320192;320192;HV-34649_00002 (id: 92);92;;4192.94;14830.67;123.65;789.25;1542.79;20.00;0.00
04.14.2020 11:00:00;320192;320192;MacroBTS;320192;320192;HV-34649_00001 (id: 91);91;410.74;2590.48;22403.78;136.56;561.05;417.78;49.00;0.00
04.14.2020 11:15:00;320192;320192;MacroBTS;320192;320192;HV-34649_00001 (id: 91);91;287.06;3198.13;24263.15;88.33;801.76;1009.82;36.00;0.00
04.14.2020 11:15:00;320192;320192;MacroBTS;320192;320192;HV-34649_00002 (id: 92);92;;2164.50;23098.23;;715.71;986.44;75.00;0.00
04.14.2020 11:15:00;320192;320192;MacroBTS;320192;320192;HV-34649_00003 (id: 93);93;268.17;5716.32;18133.99;117.12;804.31;1084.03;105.00;0.00
04.14.2020 11:30:00;320192;320192;MacroBTS;320192;320192;HV-34649_00001 (id: 91);91;384.12;1942.50;14430.26;107.23;141.30;803.80;40.00;0.00
04.14.2020 11:30:00;320192;320192;MacroBTS;320192;320192;HV-34649_00002 (id: 92);92;;6423.20;21903.90;;1233.00;4533.63;40.00;0.00
04.14.2020 11:30:00;320192;320192;MacroBTS;320192;320192;HV-34649_00003 (id: 93);93;278.08;4045.86;19691.70;93.30;255.29;938.83;48.00;0.00
04.14.2020 11:45:00;320192;320192;MacroBTS;320192;320192;HV-34649_00003 (id: 93);93;133.33;2679.00;14873.02;141.60;184.92;666.67;28.00;0.00
04.14.2020 11:45:00;320192;320192;MacroBTS;320192;320192;HV-34649_00001 (id: 91);91;168.14;6236.89;15762.10;69.28;727.24;1023.76;63.00;0.00
04.14.2020 11:45:00;320192;320192;MacroBTS;320192;320192;HV-34649_00002 (id: 92);92;279.70;1695.74;11053.61;67.35;1296.10;1395.22;23.00;0.00
04.14.2020 08:00:00;L2G-SENDAIHIGASIJUUBANTYOUAW (id: 311706);311706;MacroBTS;L2G-SENDAIHIGASIJUUBANTYOUAW (id: 311706);311706;HI-45336_00001 (id: 1);1;463.20;3159.21;24880.38;171.07;781.78;914.65;21.00;0.00
