PERIOD_START_TIME;MRBTS name;MRBTS ID;LNBTS name;LNBTS ID;LNCEL name;LNCEL ID;Throughput: CellThroughput_DL_QCI_1;Throughput: CellThroughput_UL_QCI_1;Throughput: UserThroughput_DL_QCI_1;Throughput: UserThroughput_DL_QCI_5;Throughput: UserThroughput_DL_QCI_9;Throughput: UserThroughput_UL_QCI_1;Throughput: UserThroughput_UL_QCI_5;Throughput: UserThroughput_UL_QCI_9;PDCD_SDU_QCI_1: PDCD_SDU_DL_QCI_1;PDCD_SDU_QCI_1: PDCD_SDU_UL_QCI_1;E-RAB_Success_Ratio: ERAB_Success_Ratio_QCI_1;E-RAB_Success_Ratio: ERAB_Attempt_QCI_1;E-RAB_Success_Ratio: ERAB_Success_QCI_1;E-RAB_Success_Ratio: ERAB_Success_Ratio_nonGBR;E-RAB_Drop_Ratio: ERAB_Drop_Ratio_QCI_1;E-RAB_Drop_Ratio: ERAB_ReleaseReq_QCI_1;Pre-emption_Ratio: Pre_emption_Ratio;SRVCC: SRVCC_Failure_Ratio;SRVCC: SRVCC_HO_Prep;SRVCC: SRVCC_HO_Attempt;SRVCC: SRVCC_HO_Success
04.22.2020 10:45:00;L2G-Ashikita (id: 448614);448614;L2G-Ashikita (id: 448614);448614;QI-K6206_00003 (id: 153);153;9.00;9.00;;7123.55;33429.66;34.35;561.69;739.66;7314;6802;100.00;2;2;100.00;;;;;0;0;0
04.22.2020 10:45:00;L2G-Ashikita (id: 448614);448614;L2G-Ashikita (id: 448614);448614;QV-46159_00003 (id: 93);93;0.00;0.00;;2847.10;10582.93;;930.15;844.13;0;0;;0;0;100.00;;;;;0;0;0
04.22.2020 10:45:00;L2G-Ashikita (id: 448614);448614;L2G-Ashikita (id: 448614);448614;QI-K6206_00001 (id: 151);151;5.00;8.00;269.51;;4500.54;242.36;307.36;209.05;1095;1524;;0;0;100.00;;;;;0;0;0
04.22.2020 10:45:00;L2G-Ashikita (id: 448614);448614;L2G-Ashikita (id: 448614);448614;QV-46159_00001 (id: 91);91;13.00;13.00;83.02;1096.11;8916.29;56.06;36.16;152.89;16291;15278;100.00;8;8;99.43;;;;100.00;52;3;3
04.22.2020 10:45:00;L2G-Ashikita (id: 448614);448614;L2G-Ashikita (id: 448614);448614;QV-46159_00002 (id: 92);92;10.00;12.00;476.00;3738.22;3135.87;76.29;374.18;118.68;3720;4306;100.00;1;1;100.00;;;;;0;0;0
04.22.2020 10:45:00;L2G-Ashikita (id: 448614);448614;L2G-Ashikita (id: 448614);448614;QI-16246_00002 (id: 2);2;11.00;12.00;1888.00;6506.25;13367.65;141.95;752.54;1459.22;12169;12550;100.00;3;3;99.43;;;;;0;0;0
04.22.2020 11:00:00;L2G-Ashikita (id: 448614);448614;L2G-Ashikita (id: 448614);448614;QI-16246_00001 (id: 1);1;0.00;0.00;;1944.68;18320.78;;16.57;488.25;0;0;100.00;1;1;99.75;;;;;0;0;0
04.22.2020 11:00:00;L2G-Ashikita (id: 448614);448614;L2G-Ashikita (id: 448614);448614;QV-46159_00001 (id: 91);91;0.00;0.00;;1148.11;7226.75;;26.65;126.51;0;0;;0;0;99.12;;;;;0;0;0
04.22.2020 11:00:00;L2G-Ashikita (id: 448614);448614;L2G-Ashikita (id: 448614);448614;QV-46159_00002 (id: 92);92;12.00;8.00;816.00;3189.00;6821.42;49.03;210.32;278.25;6058;3867;100.00;2;2;100.00;;;;;0;0;0
04.22.2020 11:00:00;L2G-Ashikita (id: 448614);448614;L2G-Ashikita (id: 448614);448614;QI-K6206_00002 (id: 152);152;0.00;0.00;;;4675.65;;510.74;39.26;0;0;;0;0;100.00;;;;;0;0;0
04.22.2020 11:00:00;L2G-Ashikita (id: 448614);448614;L2G-Ashikita (id: 448614);448614;QV-46159_00003 (id: 93);93;0.00;0.00;;2993.76;11825.53;;293.82;551.39;0;0;;0;0;100.00;;;;;0;0;0
04.22.2020 11:00:00;L2G-Ashikita (id: 448614);448614;L2G-Ashikita (id: 448614);448614;QI-K6206_00001 (id: 151);151;0.00;0.00;;365.78;7767.95;;109.58;208.71;0;0;;0;0;100.00;;;;;0;0;0
04.22.2020 11:00:00;L2G-Ashikita (id: 448614);448614;L2G-Ashikita (id: 448614);448614;QI-16246_00002 (id: 2);2;9.00;10.00;318.10;2833.04;18394.59;88.37;79.94;837.61;4600;4951;100.00;4;4;99.42;;;;;0;0;0
